name,5_15_drySt-28F,20_12_CeSt-28F,1_11_drySt-28F,2_12_drySt-28F,3_13_drySt-28F,4_14_drySt-28F,19_11_CeSt-28F,21_13_CeSt-28F,22_14_CeSt-28F,23_15_CeSt-28F
Tannerella,476,67,549,578,996,404,0,6,20,37
Lactococcus,326,737,2297,548,2378,471,422,173,580,4867
Lactobacillus,94,597,434,719,322,205,330,639,633,1819
Lactobacillus::Lactococcus,1,12,25,5,17,1,7,0,3,25
Parasutterella,1,0,1,4,2,0,0,0,0,2
Helicobacter,89,0,0,13,24,32,0,0,0,0
Prevotella,121,7,289,99,335,143,0,1,3,10
Bacteroides,273,34,958,377,526,200,0,5,20,31
Barnesiella,9,1,2,2,1,2,0,0,0,1
Odoribacter,1,0,22,7,2,4,0,0,0,0
Eubacterium,52,131,144,238,129,90,15,77,191,514
Allobaculum,0,241,0,271,21,3,1,42,26,3
Roseburia,1,18,12,44,1,0,34,7,2,16
Clostridium,130,401,597,815,203,232,425,234,753,1012
Porphyromonas,4,0,6,5,2,2,0,0,1,0
Butyrivibrio,32,450,136,357,89,45,3213,582,91,97
Ruminococcus,3,22,25,34,20,60,35,22,16,40
Acholeplasma,0,0,1,2,2,2,0,3,0,0
Alistipes,13,2,84,160,28,13,0,0,1,1
Clostridium::Coprococcus,0,0,0,0,0,0,0,0,0,0
Eubacterium (Erysipelotrichaceae)::Eubacterium,0,2,1,2,0,0,4,1,1,0
Hydrogenoanaerobacterium,0,0,2,0,0,0,0,0,2,0
Paraprevotella,10,0,3,6,4,6,0,0,0,0
Blautia,5,6,6,9,0,3,3,0,4,59
Adlercreutzia::Asaccharobacter,0,0,0,6,0,0,1,1,0,5
Coprococcus,13,13,116,119,10,12,2,1,1,36
Parabacteroides,45,0,25,4,14,16,0,1,4,15
Eubacterium (Erysipelotrichaceae),0,1,2,1,4,2,6,1,6,0
Oscillibacter,1,2,3,10,1,1,0,0,0,2
Acinetobacter,25,0,0,0,0,0,0,0,0,0
Alkalitalea,0,0,2,6,0,0,0,0,0,0
Sporobacter,0,0,0,0,0,0,0,0,0,0
Oscillospira,0,3,7,10,4,4,0,0,1,0
Blautia::Clostridium,1,1,0,1,0,0,0,0,0,4
Planctomyces,0,0,0,0,2,0,0,0,0,0
Akkermansia,48,200,102,85,519,113,88,24,99,319
Ruminofilibacter,0,0,0,0,0,0,0,0,0,0
Pseudoflavonifractor,11,5,8,32,2,2,1,1,0,5
Butyricimonas,5,0,13,12,16,7,0,0,0,0
Desulfovibrio,3,14,0,2,0,0,0,0,3,0
Anaerotruncus,0,0,1,0,0,0,0,0,0,0
Alistipes::Bacteroides,5,1,46,179,28,4,0,1,0,1
Turicibacter,1,177,178,231,256,238,440,477,1216,3
Mucispirillum,8,0,0,0,0,0,0,0,0,0
Lachnospira,0,0,1,0,0,1,2,2,0,6
Catabacter,0,0,0,0,0,0,0,0,0,2
Desulfosporosinus,0,0,0,0,0,0,0,0,0,0
Bacillus,7,0,20,1,0,0,2,4,0,0
Sporanaerobacter,0,0,1,1,0,1,0,0,0,0
Streptomyces,0,16,4,24,8,1,0,23,37,0
Butyrivibrio::Clostridium,4,0,0,0,1,0,4,2,0,8
Candidatus Arthromitus,3,0,0,0,2,0,0,0,0,147
Enterorhabdus,1,5,8,16,4,3,2,24,4,15
Kurthia,0,0,0,0,0,0,0,0,1,0
Eggerthella,5,3,3,5,1,0,3,6,6,22
Actinocorallia,0,9,0,0,0,0,0,4,1,0
Caldanaerocella,1,0,0,0,0,0,0,0,4,0
Dorea,0,0,0,2,0,0,1,4,5,7
Streptococcus,1,3,6,0,0,0,1,0,0,2
Adlercreutzia,0,2,3,1,0,0,0,5,3,0
Paraeggerthella,1,3,0,0,1,0,1,4,14,34
Lachnobacterium,0,0,0,0,0,0,0,0,0,0
TM7 (genus),0,21,0,2,0,0,1,3,2,2
Clostridium::Anaerostipes,1,0,0,0,0,0,0,0,0,0
Erysipelothrix,0,2,7,0,0,0,1,1,0,0
Formosa,0,0,0,0,0,0,0,0,0,0
Rikenella,5,1,5,12,4,1,0,0,0,0
Dysgonomonas,0,0,2,0,1,0,0,0,0,0
Desulfitobacterium,1,0,0,0,0,0,0,0,0,3
Oribacterium,0,0,0,0,1,0,0,2,0,0
Syntrophococcus,0,0,0,0,0,0,0,0,0,0
Ruminococcus::Clostridium,0,0,0,0,0,0,0,0,0,0
Rhodospirillum,1,0,0,0,0,0,0,0,0,0
Pedobacter,1,0,8,5,5,1,0,0,0,0
Acetivibrio,1,0,0,0,3,1,0,3,8,8
Clostridium::Eubacterium,0,2,0,1,0,0,0,0,0,2
Limibacter,0,0,3,1,1,1,0,0,0,0
Clostridium::Ruminococcus,0,1,0,0,0,0,0,0,0,0
Coprobacillus,4,0,0,0,2,0,0,2,2,15
Cytophaga,0,0,2,0,1,0,0,0,0,0
Denitrobacterium,0,3,4,4,1,0,6,0,0,0
Mycoplasma,2,0,0,0,0,5,0,0,0,0
Roseburia::Clostridium,0,0,1,0,0,0,1,0,0,0
Sporobacterium,0,0,0,7,0,5,0,1,9,0
Eubacterium::Ruminococcus,0,0,0,0,0,0,0,0,0,0
Pseudobutyrivibrio,0,1,0,1,0,0,0,0,0,0
Robinsoniella,0,0,0,0,0,0,0,0,0,0
Brevibacterium,0,3,1,1,0,0,0,1,1,0
Blautia::Ruminococcus,1,0,0,0,0,0,0,0,0,17
Pseudomonas,0,0,5,1,3,0,0,0,0,0
Clostridium::Roseburia,0,0,0,0,0,0,0,0,0,0
Desulfotomaculum,0,1,1,1,1,0,5,1,0,1
Clostridium (Erysipelotrichaceae),0,0,0,0,0,1,0,0,1,1
Olsenella,0,0,0,1,0,0,0,2,2,1
Azospirillum,0,0,0,0,0,0,0,0,1,3
Oxobacter,0,0,0,0,0,0,0,0,0,0
Asaccharobacter::Adlercreutzia,0,0,0,0,0,0,0,0,0,4
Desulfocurvus,0,0,0,1,0,0,0,0,0,0
Anaerostipes,0,0,0,3,0,0,0,0,0,0
Clostridium::Ruminococcus::Desulfotomaculum::Escherichia,0,0,0,0,0,0,0,0,0,0
Halanaerobacter,0,0,1,1,0,0,0,0,0,0
Slackia,0,0,0,0,0,0,0,0,1,1
Anaplasma,0,0,0,0,0,0,0,0,0,0
Syntrophomonas,0,0,0,0,0,0,0,0,0,0
Clostridium::Blautia,0,0,0,0,0,0,0,0,0,0
Anaerosporobacter::Clostridium,0,0,0,0,0,0,0,0,0,0
Clostridium::Bacteroides,0,0,0,0,0,0,1,0,0,0
Blautia::Lactonifactor,0,0,0,0,0,0,0,0,0,0
Parabacteroides::Bacteroides,0,0,0,0,1,0,0,0,0,0
Enterorhabdus::Adlercreutzia,0,0,0,0,0,0,0,0,0,0
Flavobacterium,1,0,5,4,3,0,0,0,0,0
Clostridium::Desulfotomaculum,0,0,0,0,0,0,0,0,0,0
Parasporobacterium,2,0,0,0,0,0,0,0,0,0
Coprococcus::Clostridium,0,0,0,0,0,0,0,0,0,0
Fusobacterium,1,0,0,2,0,0,1,0,0,0
Ruminococcus::Escherichia,0,0,1,0,0,0,0,0,0,0
Clostridium::Ruminococcus::Coprococcus,0,0,0,0,0,0,0,0,0,0
Lactonifactor,0,0,0,0,0,0,0,0,0,0
Haemophilus,0,1,4,1,1,1,0,0,0,0
Sporichthya,0,0,2,0,0,0,0,0,0,0
Cytophaga::Flavobacterium,0,0,0,0,1,0,0,0,0,0
Clostridium::Dorea,0,0,0,0,0,0,0,0,0,0
Ruminococcus::Blautia,0,0,0,0,0,0,0,0,0,0
Frigoribacterium,0,3,0,0,1,0,0,0,0,0
Paenibacillus,0,2,0,2,1,0,1,0,0,0
Johnsonella,0,0,0,1,0,0,0,0,0,0
Pseudoflavonifractor::Clostridium,0,0,0,0,0,0,0,0,0,0
Adlercreutzia::Enterorhabdus::Asaccharobacter,0,0,0,0,0,0,0,3,0,0
Nocardiopsis,0,2,0,0,1,0,0,0,3,0
Pedobacter::Pseudomonas,0,0,0,0,0,0,0,0,0,0
Flexibacter,0,0,0,2,0,0,0,0,0,0
Catabacter::Ruminococcus,0,0,0,0,0,0,0,0,0,0
Butyricimonas::Bacteroides,0,0,0,0,1,0,0,0,0,0
Staphylococcus,0,2,2,2,1,0,1,0,0,0
Alkalitalea::Prevotella,0,0,0,0,0,0,0,0,0,0
Lachnospira::Anaerostipes,0,0,0,0,0,0,0,0,0,0
Flavobacterium::Cytophaga,0,0,0,0,0,0,0,0,0,0
Gelidibacter,2,0,1,3,5,1,0,0,0,0
Treponema,0,4,0,0,1,0,0,0,0,0
Pontibacter,0,0,0,0,0,0,0,0,0,0
Desulfuromonas,0,0,0,0,0,0,0,0,0,0
Butyricicoccus,0,0,0,0,0,0,0,0,0,0
Clostridium::Butyrivibrio,0,0,1,0,0,0,0,0,0,1
Coprobacillus::Clostridium,0,0,0,0,0,0,0,1,0,0
Porphyromonas::Prevotella,0,0,0,0,0,0,0,0,0,0
Effluviibacter,0,0,0,1,1,0,0,0,0,0
Caminicella,0,0,0,1,0,0,0,0,0,0
Prevotella::Bacteroides,0,0,0,0,0,0,0,0,0,0
Pseudoalteromonas,0,0,0,0,0,0,0,0,0,0
Butyrivibrio::Blautia,0,0,0,0,0,0,0,0,0,0
Lachnospira::Clostridium,0,0,0,0,0,0,0,0,0,1
Alicyclobacillus,0,0,0,0,0,0,0,0,0,0
Lachnospira::Robinsoniella,0,0,0,0,0,0,0,0,0,0
Subdoligranulum,0,1,0,0,0,0,0,0,0,0
Anaerofilum,0,0,0,0,0,0,0,0,0,0
Sporosarcina,0,0,0,0,0,0,0,0,0,0
Alkalitalea::Sphingobacterium,0,0,0,0,0,0,0,0,0,0
Kopriimonas,0,0,0,0,0,2,0,0,0,0
Olivibacter,0,0,0,0,0,0,0,0,0,0
Lachnobacterium::Coprococcus,0,0,0,0,0,0,0,0,0,0
Fluviicola,0,0,0,0,0,0,0,0,0,0
Peptococcus,0,0,0,0,0,0,0,0,0,0
Ruminococcus::Roseburia,0,0,0,0,0,0,0,0,0,0
Marinilabilia,0,0,0,0,0,0,0,0,0,0
Catonella,0,0,0,0,0,0,0,0,0,0
Sphingobium,0,0,0,1,0,0,3,0,0,0
Olsenella::Streptomyces,0,0,0,0,0,0,0,0,0,0
Terasakiella,0,0,0,0,0,0,0,0,0,0
Roseospirillum,0,0,7,0,0,0,0,0,0,0
Clostridium::Ruminococcus::Blautia,0,0,0,0,0,0,0,0,0,0
Lachnospira::Roseburia,0,0,0,0,0,0,0,0,0,0
Thalassospira,0,0,0,0,0,0,0,0,0,0
Eubacterium::Clostridium,0,0,0,1,0,0,0,0,1,0
Allobaculum::Eubacterium,0,0,0,0,0,0,0,0,0,0
Blautia::Lachnospira,0,0,0,0,0,0,0,0,0,0
Cryptobacterium,0,0,0,0,0,0,0,0,0,0
Atopobium,0,0,0,0,0,0,1,0,1,10
Eubacterium::Lachnospira,0,0,0,0,0,0,0,0,0,0
Bacteroides::Alistipes,0,0,0,0,0,0,0,0,0,0
Faecalibacterium,0,0,1,1,0,0,0,0,0,2
Lachnospira::Coprococcus,0,0,0,0,0,0,0,0,0,0
Microbacterium,0,1,0,0,0,0,0,0,0,0
Zhangella::Stella,0,0,0,0,0,1,0,0,0,0
Paludibacter,0,0,0,0,0,0,0,0,0,0
Butyrivibrio::Ruminococcus,0,1,0,0,0,0,2,0,0,0
Bacteroides::Lactobacillus,0,0,0,0,0,0,0,0,0,0
Prevotella::Flavobacterium,0,0,0,0,0,0,0,0,0,0
Ruminococcus::Dorea,0,0,0,0,0,0,0,0,0,0
Slackia::Asaccharobacter::Adlercreutzia,0,1,0,0,0,0,0,0,0,0
Caldicellulosiruptor,0,0,0,0,0,0,0,0,4,0
Kordia,0,0,0,0,0,0,0,0,0,0
Bacteroides::Lactobacillus::Lachnospira,0,0,1,0,0,0,0,0,0,0
Sphingobacterium,0,0,0,0,0,0,0,0,0,0
Anaeroplasma,0,0,2,0,0,0,0,0,0,0
Atopostipes,0,0,0,0,0,0,0,0,0,20
Enterococcus,0,0,0,0,0,0,0,0,0,0
Insolitispirillum,0,0,0,0,0,0,0,0,0,0
Clostridium::Acetivibrio,0,0,0,0,0,0,0,0,0,0
Plantactinospora,0,0,0,0,0,0,0,0,0,0
Stappia,0,0,0,0,0,0,0,0,0,0
Anaplasma::Clostridium,0,0,0,0,0,0,0,0,0,0
Clostridium (Erysipelotrichaceae)::Clostridium,0,0,0,0,0,0,0,0,0,0
Algoriphagus,0,0,0,0,0,0,0,0,0,0
Dorea::Ruminococcus,0,0,0,0,0,0,0,0,0,0
Roseburia::Lachnospira,0,0,0,0,0,0,0,0,0,1
Rhizobium,0,0,0,0,0,0,0,0,0,0
Anaerofustis,0,0,0,0,0,0,0,0,0,0
Echinicola,0,0,0,0,0,0,0,0,0,0
Anaerostipes::Clostridium,0,0,0,0,0,0,0,0,0,0
Lachnospira::Blautia,0,0,0,0,0,0,0,0,0,1
Aestuariimicrobium,0,0,0,0,0,0,0,0,0,0
Gelidibacter::Flavobacterium,0,0,0,0,0,0,0,0,0,0
Helicobacter::Flexispira,0,0,0,1,0,0,0,0,0,0
Eubacterium (Erysipelotrichaceae)::Paenibacillus::Eubacterium,0,0,0,0,0,0,0,0,0,0
Pelospora,0,0,0,0,0,0,0,0,0,0
Stella,0,0,0,0,0,0,0,0,0,0
Methylobacterium,0,0,0,0,0,0,0,0,0,0
Rickettsia,0,0,1,0,0,0,0,0,0,0
Porphyromonas::Flavobacterium,0,0,0,0,0,0,0,0,0,0
Adlercreutzia::Enterorhabdus,0,0,0,0,0,0,0,0,0,0
Ruminococcus::Escherichia::Parabacteroides,0,0,0,0,0,0,0,0,0,3
Limibacter::Bacteroides,0,0,0,0,0,0,0,0,0,0
Paraprevotella::Prevotella,0,0,0,0,0,0,0,0,0,0
Janthinobacterium::Zoogloea::Duganella,0,0,0,0,0,0,0,0,0,0
Flavobacterium::Gelidibacter,0,0,0,0,0,0,0,0,0,0
Barnesiella::Bacteroides,0,0,0,0,0,0,0,0,0,0
Porphyromonas::Gelidibacter,0,0,0,0,0,0,0,0,0,0
Bacilloplasma,0,0,0,0,0,0,0,0,0,0
Natronincola,0,0,0,0,0,0,0,0,0,0
Lumbricincola,0,0,0,0,0,0,0,0,0,0
Desulfotomaculum::Clostridium,0,0,0,0,0,0,0,0,0,0
Roseburia::Ruminococcus,0,0,0,0,0,0,0,0,0,0
Bifidobacterium,0,0,0,0,0,0,0,0,0,0
Streptacidiphilus,0,0,0,0,0,0,0,0,0,0
Butyrivibrio::Pseudobutyrivibrio,0,0,0,4,0,0,0,0,0,0
Aeromicrobium,0,0,0,0,0,0,0,0,0,0
Proteus,0,0,0,0,0,0,0,0,0,0
Sporobacterium::Clostridium,0,0,0,0,0,0,0,0,0,0
Butyrivibrio::Roseburia,0,0,0,0,0,0,0,0,0,0
Luteococcus,0,0,0,0,0,0,0,0,0,0
Clostridium::Blautia::Desulfotomaculum,0,0,0,1,0,0,0,0,0,0
Lachnospira::Ruminococcus,0,0,0,1,0,0,0,0,0,0
Ornithinimicrobium,0,0,0,0,0,0,0,0,0,0
Persicivirga,0,0,0,0,0,0,0,0,0,0
Lachnospira::Ruminococcus::Escherichia,0,0,0,0,0,0,0,0,0,0
Anaerophaga,0,0,0,0,0,0,0,0,0,0
Dysgonomonas::Flavobacterium,0,0,0,0,0,0,0,0,0,0
Bizionia,0,0,0,1,0,0,0,0,0,0
